freq,sectperf,unit,geo,Ano,Valor
A,TOTAL,PC_GDP,UKE3,2014 ,1.07
A,TOTAL,PC_GDP,UKE4,2014 ,1.05
A,TOTAL,PC_GDP,UKF1,2014 ,2.66
A,TOTAL,PC_GDP,UKF2,2014 ,1.2
A,TOTAL,PC_GDP,UKF3,2014 ,0.36
A,TOTAL,PC_GDP,UKG1,2014 ,2.93
A,TOTAL,PC_GDP,UKG2,2014 ,0.63
A,TOTAL,PC_GDP,UKG3,2014 ,1.71
A,TOTAL,PC_GDP,UKH1,2014 ,5.08
A,TOTAL,PC_GDP,UKH2,2014 ,3.19
A,TOTAL,PC_GDP,UKH3,2014 ,1.6
A,TOTAL,PC_GDP,UKI3,2014 ,1.65
A,TOTAL,PC_GDP,UKI4,2014 ,0.51
A,TOTAL,PC_GDP,UKI5,2014 ,0.25
A,TOTAL,PC_GDP,UKI6,2014 ,0.54
A,TOTAL,PC_GDP,UKI7,2014 ,0.73
A,TOTAL,PC_GDP,UKJ1,2014 ,3.53
A,TOTAL,PC_GDP,UKJ2,2014 ,1.38
A,TOTAL,PC_GDP,UKJ3,2014 ,2.39
A,TOTAL,PC_GDP,UKJ4,2014 ,1.27
A,TOTAL,PC_GDP,UKK1,2014 ,2.54
A,TOTAL,PC_GDP,UKK2,2014 ,0.82
A,TOTAL,PC_GDP,UKK3,2014 ,0.24
A,TOTAL,PC_GDP,UKK4,2014 ,0.88
A,TOTAL,PC_GDP,UKL1,2014 ,0.83
A,TOTAL,PC_GDP,UKL2,2014 ,1.46
A,TOTAL,PC_GDP,UKM2,2014 ,2.18
A,TOTAL,PC_GDP,UKM3,2014 ,1.01
A,TOTAL,PC_GDP,UKM5,2014 ,1.84
A,TOTAL,PC_GDP,UKM6,2014 ,0.52
A,TOTAL,PC_GDP,UKM7,2014 ,2.11
A,TOTAL,PC_GDP,UKM8,2014 ,1.43
A,TOTAL,PC_GDP,UKM9,2014 ,0.23
A,TOTAL,PC_GDP,UKN0,2014 ,1.25
A,TOTAL,PC_GDP,AT11,2015 ,0.99
A,TOTAL,PC_GDP,AT12,2015 ,1.74
A,TOTAL,PC_GDP,AT13,2015 ,3.63
A,TOTAL,PC_GDP,AT21,2015 ,3.13
A,TOTAL,PC_GDP,AT22,2015 ,5.11
A,TOTAL,PC_GDP,AT31,2015 ,3.15
A,TOTAL,PC_GDP,AT32,2015 ,1.5
A,TOTAL,PC_GDP,AT33,2015 ,3.09
A,TOTAL,PC_GDP,AT34,2015 ,1.77
A,TOTAL,PC_GDP,BE10,2015 ,1.7
A,TOTAL,PC_GDP,BE21,2015 ,3.12
A,TOTAL,PC_GDP,BE22,2015 ,1.36
A,TOTAL,PC_GDP,BE23,2015 ,2.49
A,TOTAL,PC_GDP,BE24,2015 ,4.22
A,TOTAL,PC_GDP,BE25,2015 ,1.12
A,TOTAL,PC_GDP,BE31,2015 ,6.33
A,TOTAL,PC_GDP,BE32,2015 ,1.62
A,TOTAL,PC_GDP,BE33,2015 ,2.08
A,TOTAL,PC_GDP,BE34,2015 ,0.81
A,TOTAL,PC_GDP,BE35,2015 ,1.25
A,TOTAL,PC_GDP,BEZZ,2015 ,0.0
A,TOTAL,PC_GDP,BG31,2015 ,0.55
A,TOTAL,PC_GDP,BG32,2015 ,0.52
A,TOTAL,PC_GDP,BG33,2015 ,0.37
A,TOTAL,PC_GDP,BG34,2015 ,0.33
A,TOTAL,PC_GDP,BG41,2015 ,1.49
A,TOTAL,PC_GDP,BG42,2015 ,0.51
A,TOTAL,PC_GDP,CY00,2015 ,0.48
A,TOTAL,PC_GDP,CZ01,2015 ,2.68
A,TOTAL,PC_GDP,CZ02,2015 ,1.93
A,TOTAL,PC_GDP,CZ03,2015 ,1.6
A,TOTAL,PC_GDP,CZ04,2015 ,0.36
A,TOTAL,PC_GDP,CZ05,2015 ,1.34
A,TOTAL,PC_GDP,CZ06,2015 ,2.88
A,TOTAL,PC_GDP,CZ07,2015 ,1.29
A,TOTAL,PC_GDP,CZ08,2015 ,1.19
A,TOTAL,PC_GDP,DE11,2015 ,6.13
A,TOTAL,PC_GDP,DE12,2015 ,4.55
A,TOTAL,PC_GDP,DE13,2015 ,2.63
A,TOTAL,PC_GDP,DE14,2015 ,4.55
A,TOTAL,PC_GDP,DE21,2015 ,4.3
A,TOTAL,PC_GDP,DE22,2015 ,1.25
A,TOTAL,PC_GDP,DE23,2015 ,2.0
