freq,unit,sectperf,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HC,HES,FI	46.81 	47.59 	47.73 	48.45 	48.68 	49.19 	49.78 	50.13 	49.98 d	50.05 d	51.24 	: 
A,PC_HC,HES,FR	33.21 e	35.44 be	: 	39.59 	39.87 p	: 	: 	41.82 	41.9 	42.02 	42.42 	: 
A,PC_HC,HES,HR	47.71 	48.77 	48.94 	49.01 	49.41 	50.13 	50.42 	51.13 	51.83 	51.46 	51.74 	: 
A,PC_HC,HES,HU	38.66 	38.96 	39.44 	39.89 	40.13 	36.14 b	38.9 	38.17 	39.14 	37.23 	40.2 	: 
A,PC_HC,HES,IE	44.93 	45.23 	45.17 	45.1 	45.31 	: 	47.61 	: 	48.18 e	: 	50.52 e	: 
A,PC_HC,HES,IS	51.1 b	: 	: 	: 	52.53 	53.07 	: 	: 	51.36 	54.46 u	50.89 	: 
A,PC_HC,HES,IT	40.3 	40.33 	40.83 e	41.05 e	41.24 e	41.43 e	41.76 e	41.69 e	42.01 e	42.35 e	42.86 e	: 
A,PC_HC,HES,JP	25.41 d	25.94 d	26.27 d	26.62 d	27.05 d	27.45 d	27.85 d	28.26 d	28.57 d	28.87 d	29.18 d	: 
A,PC_HC,HES,KR	29 	29.36 	29.48 	30.37 	31.66 	31.98 	33.13 	33.13 	33.84 	35.21 	35.21 	: 
A,PC_HC,HES,LT	54.76 	55.38 	55.48 	55.77 	54.95 	55.4 	54.8 	56.05 	55.74 	56.43 	56.81 	: 
A,PC_HC,HES,LU	38.29 	39.2 	38.14 	: 	37.1 	: 	36.22 	: 	36.82 	: 	38.63 	: 
A,PC_HC,HES,LV	53.54 	52.99 	52.06 	54.07 	53.94 	52.36 	53.04 	52.52 	53.42 	54.21 	52.5 	: 
A,PC_HC,HES,ME	47.37 	44.71 	44.56 d	: 	44.79 	44.7 	49.07 	: 	: 	: 	: 	: 
A,PC_HC,HES,MK	: 	: 	47.86 	49.08 	49.86 	50.83 	50.69 	52.21 	: 	53.02 	: 	: 
A,PC_HC,HES,MT	33 	34.39 	33.14 	33.06 	35.1 	35.77 	36.09 	36.7 	37.55 	38.71 	41.54 	: 
A,PC_HC,HES,NL	41.41 b	41.8 	42.23 	42.8 	43.15 	43.74 	43.74 	44.78 	45.74 	46.3 	47.15 	: 
A,PC_HC,HES,NO	46.5 	47.33 	47.59 	48.18 	48.68 	49.75 	50.23 	50.34 	51.24 	52 	52.65 	: 
A,PC_HC,HES,PL	43.11 	43.28 	43.58 	43.73 	45.57 	46.24 	46.56 	46.5 	46.83 	47.14 	47.36 	: 
A,PC_HC,HES,PT	48.4 b	48.07 	48.6 	48.81 	49.44 	49.78 	50.09 	50.44 	50.53 	50.47 	50.74 	50.93 
A,PC_HC,HES,RO	46.78 	47.16 	48.54 	48.41 	49.37 	50.39 	50.49 	50.39 	51.78 	50.81 	52.02 	: 
A,PC_HC,HES,RS	48.58 	48.67 	48.96 	49.27 	49.81 	49.99 	51 	52.49 	51.81 	52.77 	53.88 	54.47 
A,PC_HC,HES,RU	46.08 e	45.94 e	46.35 	: 	46.34 	46.16 	44.86 	: 	: 	: 	: 	: 
A,PC_HC,HES,SE	44.44 	: 	44.85 	: 	43.54 	: 	44.53 	: 	46.81 b	: 	46.82 	: 
A,PC_HC,HES,SI	42.46 	42.62 	43.24 	41.71 	41.77 	41.9 	43.86 	44.6 	44.68 	44.73 	46.36 	: 
A,PC_HC,HES,SK	45.81 	45.69 	46.07 	45.95 	46.54 	46.21 	46.36 	46.48 	47.15 	47.13 	47.09 	: 
A,PC_HC,HES,TR	41.56 	42.3 	43.6 	44.77 	45.02 	45.02 	45.51 	45.84 	45.9 	46.41 	46.79 	47.11 
A,PC_HC,HES,UK	44.63 	44.08 e	45.33 e	45.52 e	46.08 e	46.37 e	: 	: 	: 	: 	: 	: 
