Data de Referência;Ano e Mes;Código Tipo Ponto Interação;Descrição Tipo Ponto Interação;Código Meio de Interação;Descrição Meio de Interação;Código do Serviço;Descrição do Serviço;Código Ponto Atendimento;Descrição Ponto Atendiemnto;Processos Iniciados
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;9
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000002743;Pedir ocupação do espaço público;;;9
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000458;Renovar Cartão de Cidadão;;;3
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000000458;Renovar Cartão de Cidadão;;;42
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015699;Subscrever jornais ou revistas através do programa de oferta de assinaturas digitais para jovens;;;1
2026-02-03;202512;1;Presencial;PointOfCareType.Presential;Presencial;CES:SRV:000015699;Subscrever jornais ou revistas através do programa de oferta de assinaturas digitais para jovens;;;1
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1902
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1744
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1039
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1587
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1568
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1471
2026-02-03;202401;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1307
2026-02-03;202402;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1547
2026-02-03;202402;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1748
2026-02-03;202402;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;2615
2026-02-03;202402;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1688
2026-02-03;202402;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;2762
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1522
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1732
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1604
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1464
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1480
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1000
2026-02-03;202403;2; Digital;PointOfCareType.Web;Aplicação Web;CES:SRV:000000019;Ativar a Chave Móvel Digital;;;1556
