freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,HU12	: 	: 	: 	: 	0.59 	0.91 b	0.92 	0.83 	0.62 	0.51 	0.41 	: 
A,TOTAL,PC_GDP,HU21	1.2 	1.1 	0.93 	0.82 	1.03 	1.31 b	1.04 	1.77 	1.26 	1.26 	1.06 	: 
A,TOTAL,PC_GDP,HU22	0.73 	0.64 	0.57 	0.54 	0.62 	0.74 b	0.73 	0.78 	1.13 	0.83 	1.06 	: 
A,TOTAL,PC_GDP,HU23	0.75 	0.59 	0.41 	0.35 	0.67 	0.64 b	0.71 	0.85 	0.86 	0.56 	0.56 	: 
A,TOTAL,PC_GDP,HU31	0.72 	0.71 	0.48 	0.37 	0.47 	0.61 b	0.65 	0.76 	0.65 	0.68 	0.74 	: 
A,TOTAL,PC_GDP,HU32	1.27 	1.11 	1.06 	0.88 	0.93 	0.95 b	0.94 	0.92 	0.96 	0.91 	0.85 	: 
A,TOTAL,PC_GDP,HU33	1.17 	1.11 	1.59 	0.93 	1.06 	1.16 b	1.27 	1.22 	1.37 	1.17 	1.19 	: 
A,TOTAL,PC_GDP,IE01	1.74 	: 	1.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,IE02	1.49 	: 	1.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,IE04	: 	: 	: 	: 	: 	: 	1.59 	: 	1.73 	: 	1.44 	: 
A,TOTAL,PC_GDP,IE05	: 	: 	: 	: 	: 	: 	0.72 	: 	0.8 	: 	0.59 	: 
A,TOTAL,PC_GDP,IE06	: 	: 	: 	: 	: 	: 	1.45 	: 	1.3 	: 	2.14 	: 
A,TOTAL,PC_GDP,IS00	1.68 b	1.92 	2.16 	2.08 	2.06 	1.97 	2.31 	2.44 	2.73 	2.56 	2.62 	2.47 
A,TOTAL,PC_GDP,ITC1	2 	2.21 e	2.17 	2.2 b	2.06 	2.18 	2.27 	2.34 	2.08 	2.12 	2.09 	: 
